,0
936,25
937,15
938,18
939,24
940,17
941,18
942,22
943,10
944,24
945,19
946,23
947,15
948,17
949,15
950,12
951,21
952,12
953,10
954,13
955,13
956,21
957,21
958,22
959,19
960,18
961,21
962,19
963,11
964,19
965,22
966,25
967,18
968,25
969,10
970,15
971,19
972,12
973,20
974,13
975,19
976,23
977,13
978,14
979,16
980,18
981,15
982,10
983,23
984,21
985,17
986,15
987,17
988,19
989,18
990,23
991,17
992,24
993,25
994,16
995,14
996,18
997,21
998,15
999,22
1000,16
1001,17
1002,13
1003,13
1004,20
1005,12
1006,25
1007,25
1008,24
1009,14
1010,23
1011,13
1012,20
1013,15
1014,22
1015,11
1016,16
1017,21
1018,13
1019,24
1020,17
1021,20
1022,17
1023,17
1024,16
1025,21
1026,21
1027,12
1028,10
1029,10
1030,11
1031,19
1032,14
1033,14
1034,17
1035,18
1036,22
1037,16
1038,24
1039,17
1040,13
1041,17
1042,21
1043,19
1044,19
1045,22
1046,25
1047,17
1048,17
1049,23
1050,24
1051,14
1052,12
1053,12
1054,19
1055,19
1056,21
1057,23
1058,24
1059,23
1060,11
1061,22
1062,23
1063,21
1064,15
1065,18
1066,11
1067,22
1068,24
1069,17
1070,16
1071,14
1072,23
1073,12
1074,21
1075,10
1076,20
1077,13
1078,12
1079,10
1080,23
1081,17
1082,12
1083,24
1084,14
1085,18
1086,25
1087,14
1088,11
1089,11
1090,11
1091,20
1092,22
1093,21
1094,13
1095,19
1096,14
1097,16
1098,13
1099,24
1100,25
1101,22
1102,21
1103,22
1104,20
1105,23
1106,25
1107,21
1108,20
1109,25
1110,13
1111,20
1112,15
1113,13
1114,24
1115,18
1116,10
1117,16
1118,19
1119,13
1120,23
1121,21
1122,14
1123,11
1124,15
1125,12
1126,24
1127,21
1128,13
1129,23
1130,12
1131,16
1132,16
1133,16
1134,11
1135,19
1136,15
1137,24
1138,11
1139,11
1140,18
1141,22
1142,15
1143,16
1144,17
1145,20
1146,13
1147,18
1148,10
1149,22
1150,21
1151,21
1152,15
1153,19
1154,14
1155,21
1156,10
1157,18
1158,18
1159,18
1160,25
1161,21
1162,25
1163,22
1164,10
1165,13
1166,13
1167,18
1168,22
1169,10
1170,16
1171,11
1172,17
1173,24
1174,25
1175,16
1176,22
1177,16
1178,24
1179,16
1180,19
1181,17
1182,19
1183,17
1184,10
1185,16
1186,10
1187,14
1188,22
1189,13
1190,15
1191,19
1192,15
1193,13
1194,11
1195,13
1196,16
1197,11
1198,14
1199,17
1200,23
1201,12
1202,24
1203,25
1204,21
1205,21
1206,16
1207,25
1208,21
1209,15
1210,25
1211,24
1212,24
1213,15
1214,13
1215,10
1216,24
1217,15
1218,24
1219,16
1220,22
1221,19
1222,15
1223,25
1224,24
1225,25
1226,20
1227,15
1228,13
1229,22
1230,17
1231,14
1232,10
1233,16
1234,17
1235,14
1236,13
1237,22
1238,24
1239,15
1240,20
1241,17
1242,20
1243,12
1244,23
1245,19
1246,14
1247,18
1248,15
1249,18
1250,24
1251,14
1252,10
1253,15
1254,19
1255,20
1256,14
1257,16
1258,18
1259,15
1260,15
1261,14
1262,23
1263,19
1264,20
1265,16
1266,11
1267,10
1268,10
1269,18
1270,25
1271,17
1272,21
1273,17
1274,13
1275,21
1276,12
1277,23
1278,15
1279,14
1280,24
1281,18
1282,14
1283,19
1284,13
1285,13
1286,21
1287,23
1288,19
1289,15
1290,12
1291,16
1292,14
1293,16
1294,22
1295,25
1296,24
1297,14
1298,11
1299,21
1300,17
1301,17
1302,16
1303,22
1304,18
1305,13
1306,22
1307,20
1308,24
1309,17
1310,17
1311,11
1312,13
1313,22
1314,20
1315,24
1316,13
1317,12
1318,17
1319,13
1320,22
1321,15
1322,17
1323,16
1324,15
1325,20
1326,19
1327,16
1328,23
1329,23
1330,23
1331,10
1332,10
1333,17
1334,13
1335,20
1336,24
1337,17
1338,24
1339,22
1340,15
1341,22
1342,13
1343,22
1344,16
1345,19
1346,16
1347,21
1348,11
1349,19
1350,23
1351,12
1352,23
1353,13
1354,14
1355,17
1356,19
1357,21
1358,16
1359,11
1360,16
1361,18
1362,20
1363,18
1364,20
1365,16
1366,18
1367,22
1368,22
1369,19
1370,24
1371,10
1372,23
1373,12
1374,19
1375,14
1376,21
1377,11
1378,18
1379,19
1380,23
1381,17
1382,20
1383,14
1384,13
1385,15
1386,15
1387,22
1388,13
1389,10
1390,25
1391,25
1392,24
1393,18
1394,12
1395,25
1396,18
1397,24
1398,15
1399,20
1400,22
1401,10
1402,20
1403,22
1404,23
1405,16
1406,17
1407,20
1408,17
1409,12
1410,25
1411,15
1412,14
1413,16
1414,22
1415,18
1416,15
1417,12
1418,11
1419,17
1420,23
1421,22
1422,14
1423,20
1424,22
1425,14
1426,22
1427,20
1428,19
1429,21
1430,14
1431,25
1432,10
1433,23
1434,14
1435,19
1436,16
1437,20
1438,10
1439,16
1440,25
1441,19
1442,12
1443,16
1444,11
1445,16
1446,11
1447,21
1448,15
1449,19
1450,17
1451,25
1452,11
1453,25
1454,18
1455,25
1456,25
1457,10
1458,16
1459,17
1460,23
1461,13
1462,21
1463,17
1464,22
1465,14
1466,12
1467,10
1468,23
1469,23
1470,13
1471,14
1472,22
1473,19
1474,23
1475,18
1476,11
1477,21
1478,15
1479,16
1480,18
1481,10
1482,25
1483,14
1484,13
1485,13
1486,15
1487,19
1488,21
1489,11
1490,20
1491,16
1492,20
1493,15
1494,21
1495,10
1496,14
1497,19
1498,15
1499,22
1500,15
1501,17
1502,18
1503,15
1504,10
1505,10
1506,20
1507,21
1508,14
1509,17
1510,13
1511,24
1512,12
1513,10
1514,16
1515,11
1516,13
1517,18
1518,14
1519,25
1520,24
1521,10
1522,21
1523,11
1524,10
1525,11
1526,10
1527,17
1528,19
1529,23
1530,24
1531,14
1532,20
1533,22
1534,17
1535,14
1536,19
1537,10
1538,10
1539,19
1540,10
1541,13
1542,16
1543,11
1544,20
1545,12
1546,15
1547,25
1548,11
1549,12
1550,12
1551,17
1552,13
1553,14
1554,19
1555,25
1556,15
1557,15
1558,16
1559,12
1560,10
1561,22
1562,21
1563,21
1564,12
1565,24
1566,16
1567,14
1568,21
1569,10
1570,10
1571,18
1572,17
1573,24
1574,18
1575,23
1576,19
1577,10
1578,18
1579,21
1580,16
1581,24
1582,25
1583,20
1584,13
1585,18
1586,14
1587,12
1588,20
1589,22
1590,13
1591,19
1592,20
1593,17
1594,23
1595,16
1596,20
1597,24
1598,23
1599,13
1600,21
1601,15
1602,17
1603,22
1604,15
1605,15
1606,14
1607,16
1608,21
1609,15
1610,13
1611,23
1612,12
1613,16
1614,19
1615,14
1616,24
1617,24
1618,21
1619,12
1620,24
1621,10
1622,23
1623,22
1624,23
1625,19
1626,15
1627,25
1628,16
1629,13
1630,15
1631,16
1632,25
1633,13
1634,22
1635,25
1636,19
1637,20
1638,13
1639,21
1640,20
1641,15
1642,10
1643,23
1644,16
1645,14
1646,18
1647,18
1648,15
1649,21
1650,24
1651,17
1652,18
1653,10
1654,13
1655,13
1656,13
1657,18
1658,22
1659,18
1660,22
1661,22
1662,23
1663,21
1664,24
1665,21
1666,20
1667,10
1668,12
1669,20
1670,20
1671,17
1672,18
1673,10
1674,18
1675,14
1676,23
1677,10
1678,15
1679,21
1680,23
1681,21
1682,15
1683,22
1684,19
1685,11
1686,22
1687,11
1688,21
1689,24
1690,11
1691,13
1692,23
1693,17
1694,10
1695,24
1696,16
1697,24
1698,17
1699,12
1700,25
1701,18
1702,13
1703,18
1704,10
1705,20
1706,12
1707,18
1708,20
1709,11
1710,14
1711,21
1712,22
1713,21
1714,20
1715,12
1716,25
1717,23
1718,18
1719,14
1720,18
1721,15
1722,16
1723,15
1724,12
1725,12
1726,12
1727,18
1728,25
1729,13
1730,13
1731,19
1732,22
1733,10
1734,24
1735,15
1736,11
1737,18
1738,16
1739,16
1740,12
1741,11
1742,19
1743,24
1744,15
1745,16
1746,13
1747,11
1748,22
1749,23
1750,20
1751,11
1752,15
1753,24
1754,14
1755,17
1756,25
1757,21
1758,23
1759,15
1760,20
1761,19
1762,16
1763,12
1764,22
1765,12
1766,13
1767,10
1768,21
1769,18
1770,25
1771,17
1772,15
1773,23
1774,14
1775,10
1776,10
1777,20
1778,16
1779,12
1780,21
1781,21
1782,18
1783,10
1784,15
1785,22
1786,11
1787,18
1788,25
1789,25
1790,18
1791,22
1792,22
1793,10
1794,19
1795,21
1796,14
1797,19
1798,20
1799,10
1800,24
1801,10
1802,11
1803,12
1804,19
1805,23
1806,24
1807,20
1808,25
1809,24
1810,21
1811,10
1812,12
1813,25
1814,19
1815,18
1816,22
1817,24
1818,13
1819,17
1820,25
1821,21
1822,11
1823,18
1824,13
1825,11
1826,23
1827,13
1828,12
1829,12
1830,19
1831,20
1832,19
1833,10
1834,12
1835,22
1836,20
1837,18
1838,13
1839,17
1840,15
1841,11
1842,21
1843,21
1844,11
1845,21
1846,15
1847,24
1848,20
1849,14
1850,17
1851,25
1852,11
1853,13
1854,22
1855,23
1856,16
1857,15
1858,14
1859,15
1860,14
1861,17
1862,22
1863,17
1864,24
1865,17
1866,15
1867,17
1868,12
1869,23
1870,18
1871,17
1872,22
1873,10
1874,18
1875,24
1876,11
1877,19
1878,14
1879,14
1880,11
1881,21
1882,18
1883,19
1884,23
1885,21
1886,25
1887,17
1888,21
1889,24
1890,18
1891,24
1892,10
1893,24
1894,17
1895,25
1896,18
1897,18
1898,22
1899,11
1900,13
1901,11
1902,24
1903,17
1904,10
1905,25
1906,25
1907,22
1908,18
1909,20
1910,25
1911,24
1912,21
1913,13
1914,10
1915,23
1916,21
1917,14
1918,10
1919,25
1920,21
1921,15
1922,19
1923,18
1924,14
1925,18
1926,15
1927,10
1928,25
1929,22
1930,21
1931,10
1932,20
1933,20
1934,22
1935,15
1936,14
1937,12
1938,12
1939,14
1940,24
1941,22
1942,20
1943,16
1944,17
1945,14
1946,11
1947,11
1948,12
1949,22
1950,13
1951,19
1952,15
1953,19
1954,17
1955,14
1956,18
1957,22
1958,23
1959,19
1960,13
1961,15
1962,25
1963,11
1964,24
1965,24
1966,21
1967,12
1968,19
1969,19
1970,22
1971,10
1972,22
1973,25
1974,20
1975,10
1976,14
1977,12
1978,22
1979,21
1980,24
1981,12
1982,23
1983,13
1984,21
1985,18
1986,20
1987,21
1988,17
1989,15
1990,14
1991,17
1992,11
1993,13
1994,21
1995,24
1996,20
1997,21
1998,10
1999,25
2000,13
2001,15
2002,15
2003,25
2004,18
2005,11
2006,23
2007,16
2008,19
2009,12
2010,20
2011,17
2012,15
2013,14
2014,13
2015,14
2016,18
2017,15
2018,10
2019,11
2020,25
2021,10
2022,12
2023,11
2024,23
2025,16
2026,19
2027,20
2028,14
2029,25
2030,23
2031,13
2032,13
2033,22
2034,18
2035,15
2036,25
2037,21
2038,17
2039,12
2040,18
2041,24
2042,16
2043,17
2044,22
2045,12
2046,17
2047,12
2048,13
2049,13
2050,11
2051,24
2052,25
2053,20
2054,19
2055,20
2056,17
2057,12
2058,10
2059,15
2060,23
2061,11
2062,24
2063,21
2064,21
2065,21
2066,10
2067,19
2068,12
2069,12
2070,11
2071,21
2072,18
2073,13
2074,11
2075,19
2076,24
2077,21
2078,16
2079,15
2080,14
2081,18
2082,24
2083,14
2084,23
2085,23
2086,19
2087,12
2088,21
2089,10
2090,10
2091,24
2092,12
2093,17
2094,18
2095,18
2096,13
2097,14
2098,14
2099,22
2100,11
2101,15
2102,21
2103,21
2104,25
2105,14
2106,21
2107,11
2108,16
2109,16
2110,10
2111,17
2112,23
2113,16
2114,10
2115,20
2116,15
2117,22
2118,22
2119,14
2120,21
2121,10
2122,13
2123,25
2124,18
2125,21
2126,19
2127,11
2128,23
2129,11
2130,23
2131,24
2132,25
2133,20
2134,17
2135,16
2136,14
2137,20
2138,24
2139,25
2140,24
2141,11
2142,21
2143,22
2144,18
2145,16
2146,14
2147,12
2148,20
2149,22
2150,17
2151,13
2152,14
2153,11
2154,23
2155,21
2156,11
2157,24
2158,10
2159,16
2160,21
2161,11
2162,23
2163,24
2164,25
2165,25
2166,20
2167,10
2168,11
2169,20
2170,15
2171,12
2172,10
2173,23
2174,16
2175,24
2176,11
2177,25
2178,10
2179,12
2180,23
2181,18
2182,14
2183,11
2184,14
2185,22
2186,21
2187,12
2188,20
2189,22
2190,16
2191,12
2192,25
2193,17
2194,10
2195,14
2196,14
2197,19
2198,14
2199,16
2200,15
2201,22
2202,21
2203,12
2204,20
2205,18
2206,15
2207,21
2208,23
2209,13
2210,16
2211,11
2212,16
2213,10
2214,13
2215,16
2216,15
2217,18
2218,12
2219,10
2220,22
2221,10
2222,10
2223,21
2224,25
2225,12
2226,18
2227,25
2228,21
2229,21
2230,17
2231,24
2232,14
2233,23
2234,14
2235,22
2236,10
2237,23
2238,20
2239,22
2240,10
2241,11
2242,17
2243,13
2244,10
2245,12
2246,15
2247,13
2248,25
2249,19
2250,17
2251,10
2252,12
2253,13
2254,17
2255,21
2256,20
2257,21
2258,24
2259,15
2260,16
2261,20
2262,14
2263,19
2264,12
2265,16
2266,21
2267,16
2268,25
2269,14
2270,25
2271,23
2272,11
2273,23
2274,15
2275,23
2276,17
2277,17
2278,23
2279,15
2280,15
2281,24
2282,23
2283,18
2284,16
2285,21
2286,12
2287,24
2288,17
2289,25
2290,10
2291,20
2292,13
2293,14
2294,13
2295,25
2296,25
2297,22
2298,11
2299,23
2300,20
2301,16
2302,14
2303,15
2304,13
2305,13
2306,22
2307,10
2308,23
2309,16
2310,24
2311,17
2312,12
2313,11
2314,12
2315,23
2316,25
2317,25
2318,17
2319,21
2320,13
2321,25
2322,19
2323,14
2324,10
2325,20
2326,21
2327,16
2328,18
2329,23
2330,13
2331,22
2332,15
2333,17
2334,24
2335,21
2336,21
2337,23
2338,24
2339,13
2340,19
2341,15
2342,10
2343,21
2344,18
2345,13
2346,16
2347,12
2348,15
2349,16
2350,14
2351,23
2352,23
2353,10
2354,12
2355,22
2356,19
2357,11
2358,16
2359,20
2360,19
2361,15
2362,23
2363,14
2364,10
2365,25
2366,19
2367,23
2368,21
2369,16
2370,12
2371,24
2372,25
2373,19
2374,12
2375,14
2376,22
2377,20
2378,24
2379,20
2380,16
2381,21
2382,25
2383,19
2384,10
2385,11
2386,13
2387,21
2388,11
2389,19
2390,15
2391,11
2392,13
2393,13
2394,25
2395,10
2396,24
2397,21
2398,23
2399,24
2400,14
2401,22
2402,13
2403,16
2404,24
2405,20
2406,11
2407,14
2408,13
2409,12
2410,22
2411,13
2412,17
2413,20
2414,11
2415,21
2416,10
2417,21
2418,18
2419,24
2420,22
2421,12
2422,14
2423,18
2424,10
2425,13
2426,21
2427,20
2428,17
2429,23
2430,25
2431,11
2432,16
2433,24
2434,20
2435,21
2436,10
2437,18
2438,21
2439,21
2440,16
2441,19
2442,18
2443,14
2444,18
2445,23
2446,21
2447,23
2448,25
2449,21
2450,18
2451,20
2452,20
2453,11
2454,20
2455,20
2456,14
2457,15
2458,12
2459,22
2460,13
2461,18
2462,15
2463,20
2464,24
2465,20
2466,19
2467,18
2468,25
2469,25
2470,22
2471,20
2472,20
2473,12
2474,12
2475,23
2476,20
2477,16
2478,21
2479,12
2480,22
2481,21
2482,11
2483,13
2484,24
2485,13
2486,18
2487,23
2488,15
2489,24
2490,23
2491,19
2492,14
2493,19
2494,19
2495,13
2496,25
2497,18
2498,15
2499,15
2500,21
2501,12
2502,11
2503,25
2504,15
2505,15
2506,23
2507,11
2508,15
2509,10
2510,25
2511,22
2512,20
2513,25
2514,24
2515,22
2516,12
2517,10
2518,20
2519,13
2520,13
2521,11
2522,16
2523,19
2524,10
2525,11
2526,15
2527,13
2528,22
2529,12
2530,18
2531,22
2532,14
2533,13
2534,17
2535,10
2536,16
2537,20
2538,25
2539,22
2540,22
2541,16
2542,14
2543,23
2544,17
2545,15
2546,22
2547,10
2548,11
2549,12
2550,21
2551,20
2552,18
2553,17
2554,16
2555,24
2556,20
2557,14
2558,23
2559,18
2560,18
2561,24
2562,17
2563,20
2564,17
2565,20
2566,10
2567,10
2568,13
2569,12
2570,23
2571,14
2572,15
2573,24
2574,21
2575,19
2576,18
2577,11
2578,10
2579,18
2580,21
2581,23
2582,24
2583,25
2584,24
2585,19
2586,15
2587,16
2588,20
2589,15
2590,16
2591,20
2592,15
2593,16
2594,17
2595,23
2596,16
2597,10
2598,16
2599,15
2600,11
2601,17
2602,18
2603,21
2604,12
2605,22
2606,17
2607,20
2608,21
2609,17
2610,21
2611,21
2612,16
2613,23
2614,12
2615,14
2616,19
2617,15
2618,16
2619,15
2620,17
2621,17
2622,15
2623,24
2624,16
2625,17
2626,19
2627,19
2628,17
2629,24
2630,14
2631,10
2632,10
2633,19
2634,20
2635,11
2636,11
2637,18
2638,15
2639,24
2640,16
2641,12
2642,16
2643,18
2644,13
2645,15
2646,15
2647,16
2648,15
2649,21
2650,18
2651,20
2652,12
2653,21
2654,18
2655,25
2656,10
2657,10
2658,10
2659,11
2660,21
2661,23
2662,18
2663,22
2664,13
2665,13
2666,23
2667,12
2668,24
2669,23
2670,18
2671,23
2672,24
2673,22
2674,18
2675,12
2676,18
2677,18
2678,18
2679,17
2680,12
2681,15
2682,19
2683,11
2684,21
2685,16
2686,10
2687,24
2688,21
2689,23
2690,20
2691,17
2692,14
2693,19
2694,22
2695,23
2696,10
2697,11
2698,23
2699,12
2700,11
2701,15
2702,22
2703,12
2704,17
2705,17
2706,25
2707,23
2708,20
2709,19
2710,12
2711,11
2712,20
2713,18
2714,13
2715,21
2716,16
2717,24
2718,24
2719,13
2720,24
2721,13
2722,15
2723,10
2724,13
2725,19
2726,20
2727,12
2728,24
2729,10
2730,12
2731,18
2732,10
2733,10
2734,15
2735,11
2736,25
2737,21
2738,16
2739,10
2740,25
2741,14
2742,10
2743,11
2744,24
2745,19
2746,21
2747,12
2748,13
2749,19
2750,24
2751,24
2752,12
2753,17
2754,20
2755,11
2756,15
2757,23
2758,24
2759,14
2760,18
2761,15
2762,12
2763,15
2764,18
2765,20
2766,24
2767,20
2768,19
2769,24
2770,15
2771,23
2772,22
2773,13
2774,22
2775,22
2776,11
2777,22
2778,16
2779,11
2780,17
2781,13
2782,12
2783,11
2784,14
2785,13
2786,14
2787,13
2788,14
2789,11
2790,17
2791,16
2792,16
2793,17
2794,20
2795,22
2796,17
2797,14
2798,25
2799,10
2800,18
2801,22
2802,17
2803,11
2804,24
2805,15
2806,10
2807,23
2808,15
2809,19
2810,21
2811,20
2812,19
2813,22
2814,15
2815,22
2816,16
2817,19
2818,10
2819,24
2820,18
2821,13
2822,22
2823,12
2824,13
2825,18
2826,22
2827,12
2828,24
2829,18
2830,15
2831,10
2832,22
2833,18
2834,25
2835,11
2836,16
2837,18
2838,11
2839,11
2840,12
2841,23
2842,14
2843,16
2844,20
2845,16
2846,19
2847,10
2848,14
2849,14
2850,22
2851,15
2852,10
2853,13
2854,11
2855,18
2856,25
2857,21
2858,21
2859,10
2860,14
2861,24
2862,18
2863,14
2864,15
2865,13
2866,17
2867,15
2868,13
2869,14
2870,13
2871,22
2872,19
2873,25
2874,17
2875,13
2876,16
2877,15
2878,20
2879,23
2880,13
2881,11
2882,10
2883,22
2884,18
2885,21
2886,22
2887,20
2888,11
2889,24
2890,22
2891,21
2892,20
2893,19
2894,24
2895,11
2896,14
2897,21
2898,14
2899,16
2900,12
2901,18
2902,18
2903,24
2904,25
2905,21
2906,11
2907,15
2908,13
2909,11
2910,16
2911,23
2912,12
2913,13
2914,10
2915,15
2916,19
2917,15
2918,13
2919,21
2920,16
2921,24
2922,16
2923,22
2924,13
2925,11
2926,18
2927,20
2928,15
2929,25
2930,14
2931,19
2932,21
2933,15
2934,11
2935,10
2936,12
2937,12
2938,23
2939,16
2940,16
2941,23
2942,12
2943,25
2944,21
2945,13
2946,17
2947,23
2948,19
2949,24
2950,24
2951,14
2952,17
2953,19
2954,23
2955,18
2956,20
2957,22
2958,13
2959,24
2960,18
2961,25
2962,24
2963,20
2964,15
2965,14
2966,10
2967,22
2968,18
2969,25
2970,12
2971,13
2972,14
2973,17
2974,15
2975,21
2976,21
2977,22
2978,24
2979,15
2980,25
2981,16
2982,15
2983,10
2984,20
2985,22
2986,10
2987,12
2988,25
2989,17
2990,21
2991,16
2992,18
2993,10
2994,22
2995,16
2996,15
2997,22
